,pChEMBL Value,#RO5 Violations,Smiles
0,10.98,0,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1
1,10.96,0,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O
2,10.88,0,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1
3,10.87,0,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1
4,10.85,0,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1
5,10.84,0,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1
6,10.78,0,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2
7,10.72,0,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3ccccc3)ccc2CC1=O
8,10.7,1,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2
9,10.68,0,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1
10,10.67,0,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1OC)C(=O)C2
11,10.64,0,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1
12,10.59,0,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
13,10.59,0,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
14,10.59,0,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(C)c1)C(=O)C2
15,10.58,0,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1
16,10.57,0,COc1cccc(OC)c1C(C)NS(N)(=O)=O
17,10.57,0,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1
18,10.57,0,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1
19,10.57,0,COc1ccc(C(C)NS(N)(=O)=O)cc1OC
20,10.57,0,COc1ccc(C(C)NS(N)(=O)=O)cc1
21,10.57,0,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1
22,10.57,0,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC
23,10.57,0,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1
24,10.57,0,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1
25,10.57,0,COc1ccccc1C(C)NS(N)(=O)=O
26,10.55,0,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1
27,10.53,0,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2
28,10.48,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl
29,10.42,0,COc1ccccc1C(C)NS(N)(=O)=O
30,10.37,0,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]
31,10.22,1,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2
32,9.7,1,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
33,9.64,1,O=C(CCCC[C@@H]1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
34,9.63,0,COc1cc2oc(=O)c(OCCCCOc3cc(O)cc(N(C)C)c3)c(C)c2cc1OC
35,9.6,1,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
36,9.6,1,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
37,9.6,1,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
38,9.6,1,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
39,9.6,1,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
40,9.6,1,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
41,9.52,0,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
42,9.52,0,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
43,9.52,0,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
44,9.52,0,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
45,9.52,0,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
46,9.52,0,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
47,9.5,0,CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
48,9.49,0,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
49,9.49,1,CNCOc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
50,9.49,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
51,9.49,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
52,9.49,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
53,9.49,0,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
54,9.48,0,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
55,9.48,0,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
56,9.48,1,C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2c[n+](C)ccc21.[I-].[I-]
57,9.48,0,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
58,9.48,0,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
59,9.48,0,O=C(O)/C=C\C(=O)O.O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
60,9.44,0,COc1cc2c(cc1OC)C(=O)C(Cc1cc[n+](Cc3ccccc3)cc1Br)C2.[Br-]
61,9.42,0,CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
62,9.4,1,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
63,9.37,0,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2
64,9.37,0,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2.Cl
65,9.37,0,Nc1c2c(nc3cc(Cl)ccc13)C[C@H]1C=C(CCCCn3cc(CO)nn3)C[C@H]2C1
66,9.37,0,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
67,9.35,0,COc1cccc2c1CCC(NS(=O)(=O)N(C)C)C2
68,9.35,1,O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12
69,9.34,1,COc1ccc2cc3[n+](cc2c1OCc1ccc(C(F)(F)F)cc1)CCc1cc2c(cc1-3)OCO2.[Br-]
70,9.33,1,O=C(CCCC[C@H]1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
71,9.32,0,CN1C(=O)Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc21
72,9.32,0,O=C1CNc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2C1
73,9.32,0,CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21
74,9.32,0,CN1C(=O)Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc21
75,9.32,0,CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21.CS(=O)(=O)O
76,9.31,0,O=C(CCC1CCN(Cc2ccc(O)cc2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1
77,9.3,1,O=C(CCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12
78,9.3,1,Cc1ccc2ccc(CNCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c(O)c2n1.Cl.Cl
79,9.29,0,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1ccccc1
80,9.27,0,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2
81,9.25,0,CCN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1
82,9.25,0,CCN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1
83,9.24,0,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
84,9.24,0,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
85,9.24,0,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
86,9.24,0,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
87,9.24,0,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
88,9.23,1,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
89,9.21,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
90,9.19,1,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1
91,9.17,0,COc1ccc2c(c1)CCC(NC(=O)N(C)C)C2
92,9.17,0,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
93,9.16,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl
94,9.16,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
95,9.15,0,C[N+](C)(CCNC(=O)C(=O)NCC[N+](C)(C)Cc1ccccc1Cl)Cc1ccccc1Cl.[Cl-].[Cl-]
