,pChEMBL Value,#RO5 Violations,Smiles
0,10.0,0,COc1ccc2c(c1)-c1nnc(-c3cccc(C(F)(F)F)c3)cc1C2=O
1,9.57,1,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
2,9.52,1,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
3,9.52,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
4,9.41,0,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
5,9.32,0,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
6,9.18,0,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21
7,9.15,0,c1ccc(Cc2nc3ccccc3n3cnnc23)cc1
8,9.14,0,C#CCN(C)CC(=C)c1ccoc1.O=C(O)C(=O)O
9,9.08,0,COc1cc2c3c(nccc3c1)-c1ccccc1C2=O
10,9.07,0,C#CCN(C)CC(=C)c1ccc(Br)cc1.Cl
11,9.0,0,COc1ccccc1/C=C/C(=N\NC(=O)Cn1c(=O)oc2ccc(Cl)cc21)c1ccccc1
12,9.0,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
13,9.0,0,COc1ccc(C(/C=C/c2ccccc2Cl)=N/NC(=O)Cn2c(=O)oc3ccccc32)cc1
14,9.0,0,COc1cccc(/C=C/C(=N\NC(=O)Cn2c(=O)oc3ccccc32)c2ccccc2)c1
15,9.0,0,O=C(Cn1c(=O)oc2ccccc21)N/N=C(\C=C\c1ccccc1)c1ccccc1
16,9.0,0,COc1ccc(C2=NN(C(=O)Cn3c(=O)oc4ccccc43)C(c3ccccc3Cl)C2)cc1
17,9.0,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
18,9.0,1,COc1ccccc1C(/C=C/c1ccccc1Cl)=N/NC(=O)Cn1c(=O)oc2ccc(Cl)cc21
19,9.0,0,C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1.O=C(O)C(=O)O
20,8.97,0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
