,pChEMBL Value,#RO5 Violations,Smiles
0,10.85,0,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O
1,10.77,0,C#CCN(C)[C@H](C)Cc1ccccc1
2,10.32,0,O=C(O)c1coc2ccccc2c1=O
3,9.87,0,Cc1ccc2oc(=O)c(-c3cccc(Br)c3)cc2c1
4,9.77,0,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
5,9.77,0,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
6,9.66,0,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
7,9.64,0,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ccc2c1
8,9.59,0,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1
9,9.57,0,Clc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl
10,9.55,0,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O
11,9.54,0,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21
12,9.54,0,O=C(Nc1ccc(Cl)c(F)c1)c1ccc2[nH]ncc2c1
13,9.52,0,O=C(Nc1ccc(F)c(Cl)c1)c1ccc2[nH]ncc2c1
14,9.51,0,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1
15,9.51,0,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1
16,9.51,1,O=[N+]([O-])c1cccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c1
17,9.51,0,Cc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1C
18,9.5,0,O=C1CCc2cc(OCCCC(F)(F)F)ccc21
19,9.46,0,C#CCNC1CCc2c(SCCc3cccc(C)c3)cccc21
20,9.41,0,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
21,9.41,0,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
22,9.41,0,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
23,9.4,0,O=C(Nc1cccc(Cl)c1)c1coc2ccccc2c1=O
24,9.39,0,O=C(Nc1cccc(Cl)c1)c1coc2ccccc2c1=O
25,9.34,0,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21
26,9.34,0,Cn1ncc2cc(/C=N/c3ccc(Cl)c(Cl)c3)ccc21
27,9.32,0,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
28,9.32,0,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
29,9.3,0,O=C(Nc1ccc2[nH]ccc2n1)c1ccc(Cl)c(Cl)c1
30,9.3,0,O=c1ccc2ccc(OCc3ccc(Br)cc3)cc2o1
31,9.25,0,O=C(Nc1ccc2[nH]ccc2n1)c1ccc(Cl)c(Cl)c1
32,9.24,0,COCCn1ncc2cc(/C=N/c3ccc(Cl)c(Cl)c3)ccc21
33,9.24,0,Clc1cc(/N=C/c2ccc3[nH]ncc3c2)cnc1Cl
34,9.23,0,COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O
35,9.23,0,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1
36,9.23,0,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1
37,9.23,0,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1
38,9.22,0,C(/C=C/c1ccccc1)=C\c1ccccc1
39,9.22,0,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21
40,9.21,0,Clc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl
41,9.21,0,Clc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl
42,9.2,0,Cn1ncc2cc(/C=N/c3ccc(Cl)c(Cl)c3)ccc21
43,9.19,0,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1
44,9.18,0,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O
45,9.18,0,O=C(Nc1ccc(Cl)c(F)c1)c1ccc2[nH]ncc2c1
46,9.18,0,O=C(Nc1ccc(Cl)c(F)c1)c1ccc2[nH]ncc2c1
47,9.18,0,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21
48,9.17,0,O=C(Nc1ccc(F)c(Cl)c1)c1ccc2[nH]ncc2c1
49,9.17,0,O=C(Nc1ccc(F)c(Cl)c1)c1ccc2[nH]ncc2c1
50,9.17,0,Cc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1C
