,pChEMBL Value,#RO5 Violations,Smiles
0,9.47,0,Br.CCOC(=O)Cc1csc(NCc2cc(Br)cc3nc(O)c(O)nc23)n1
1,9.12,0,CCC(c1c(Cl)c(Cl)cc2nc(O)c(O)nc12)n1ccnn1
2,9.02,0,O=C(C[C@@H]1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23)Nc1ccccc1
3,9.0,0,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1
4,9.0,0,Oc1nc2cc(Cl)c(Cl)c(Cn3ccnn3)c2nc1O
5,9.0,0,NCC(=O)N1CCC[C@H]1C(=O)N[C@H](CCC(=O)O)C(=O)O
6,8.96,1,CCc1c(Cl)sc2nc(O)c(-c3cccc(Oc4ccccc4)c3)c(O)c12
7,8.96,0,Cc1ccc(OC2CCN(C(=O)c3nc4cc(O)ccc4[nH]3)CC2)cc1
8,8.92,0,O=C(c1nc2cc(O)ccc2[nH]1)N1CCC(Cc2ccc(F)cc2)CC1
9,8.92,0,CC12CC(c3ccoc3)(c3ccoc3)C(c3ccccc31)c1cccc[n+]12.[Cl-]
10,8.9,0,CS(=O)(=O)Nc1ccc(N2CC=C(C3CC(C(=O)[O-])Nc4cc(Cl)ccc43)C2=O)cc1.[Na+]
11,8.89,0,CS(=O)(=O)Nc1ccc2[nH]c(C(=O)N3CCC(Cc4ccccc4)CC3)nc2c1
12,8.89,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
13,8.89,1,Cc1ccccc1Oc1cccc(-c2c(O)nc3cc(Cl)ccc3c2O)c1
14,8.89,0,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(CCc2ccccc2)CC1
15,8.86,1,CSc1cccc(N(C)C(=N)Nc2cc(SC[18F])ccc2Cl)c1
16,8.85,1,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1
17,8.85,0,O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(O)c(O)nc12
18,8.85,1,Oc1nc2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccsc2)c1
